rank,score,sharpe,profit_factor,win_rate,trades,total_return,max_drawdown,avg_hold,use_slope,use_trend_sep,use_vcp,use_breakout,use_orb,use_rsi_rise,use_rsi_delta,use_rsi_lvl,use_adx,use_52w_high,use_ma20
169,22.8884,3.7402,6.1196,0.6831,1436,7071.41,-7.38,3.36,1,0,0,0,1,1,1,1,0,1,0
170,22.8884,3.7402,6.1196,0.6831,1436,7071.41,-7.38,3.36,1,0,0,0,1,1,1,1,0,1,1
171,22.8571,3.6991,6.1792,0.732,918,1401.17,-5.22,3.04,1,1,1,0,0,0,0,1,0,1,0
172,22.8571,3.6991,6.1792,0.732,918,1401.17,-5.22,3.04,1,1,1,0,0,0,0,1,0,1,1
173,22.8571,3.6991,6.1792,0.732,918,1401.17,-5.22,3.04,1,1,1,0,0,0,1,1,0,1,0
174,22.8571,3.6991,6.1792,0.732,918,1401.17,-5.22,3.04,1,1,1,0,0,0,1,1,0,1,1
175,22.8571,3.6991,6.1792,0.732,918,1401.17,-5.22,3.04,1,1,1,0,0,1,0,1,0,1,0
176,22.8571,3.6991,6.1792,0.732,918,1401.17,-5.22,3.04,1,1,1,0,0,1,0,1,0,1,1
177,22.8571,3.6991,6.1792,0.732,918,1401.17,-5.22,3.04,1,1,1,0,0,1,1,1,0,1,0
178,22.8571,3.6991,6.1792,0.732,918,1401.17,-5.22,3.04,1,1,1,0,0,1,1,1,0,1,1
179,22.7936,3.4848,6.5408,0.6797,1330,4289.07,-6.59,3.28,1,0,0,0,1,0,0,1,1,1,0
180,22.7936,3.4848,6.5408,0.6797,1330,4289.07,-6.59,3.28,1,0,0,0,1,0,0,1,1,1,1
181,22.7936,3.4848,6.5408,0.6797,1330,4289.07,-6.59,3.28,1,0,0,0,1,1,0,1,1,1,0
182,22.7936,3.4848,6.5408,0.6797,1330,4289.07,-6.59,3.28,1,0,0,0,1,1,0,1,1,1,1
183,22.7807,3.3391,6.8224,0.6715,1297,4073.42,-6.95,3.24,1,1,0,0,1,0,0,1,1,1,0
184,22.7807,3.3391,6.8224,0.6715,1297,4073.42,-6.95,3.24,1,1,0,0,1,0,0,1,1,1,1
185,22.7807,3.3391,6.8224,0.6715,1297,4073.42,-6.95,3.24,1,1,0,0,1,1,0,1,1,1,0
186,22.7807,3.3391,6.8224,0.6715,1297,4073.42,-6.95,3.24,1,1,0,0,1,1,0,1,1,1,1
187,22.7631,3.7405,6.0856,0.6802,1404,6724.46,-7.41,3.4,1,1,0,0,1,0,1,1,0,1,0
188,22.7631,3.7405,6.0856,0.6802,1404,6724.46,-7.41,3.4,1,1,0,0,1,0,1,1,0,1,1
189,22.7631,3.7405,6.0856,0.6802,1404,6724.46,-7.41,3.4,1,1,0,0,1,1,1,1,0,1,0
190,22.7631,3.7405,6.0856,0.6802,1404,6724.46,-7.41,3.4,1,1,0,0,1,1,1,1,0,1,1
191,22.7119,3.2492,6.9901,0.6699,1354,5380.44,-7.19,3.17,1,1,0,0,1,0,1,0,1,1,1
192,22.7119,3.2492,6.9901,0.6699,1354,5380.44,-7.19,3.17,1,1,0,0,1,1,1,0,1,1,1
193,22.691,3.3399,6.794,0.6712,1393,4716.3,-12.98,3.18,0,0,0,0,1,0,0,0,1,1,0
194,22.691,3.3399,6.794,0.6712,1393,4716.3,-12.98,3.18,0,0,0,0,1,1,0,0,1,1,0
195,22.6577,3.6352,6.2328,0.6764,1403,8580.09,-7.17,3.48,1,0,0,0,1,0,1,1,0,0,0
196,22.6577,3.6352,6.2328,0.6764,1403,8580.09,-7.17,3.48,1,0,0,0,1,0,1,1,0,0,1
197,22.6577,3.6352,6.2328,0.6764,1403,8580.09,-7.17,3.48,1,0,0,0,1,1,1,1,0,0,0
198,22.6577,3.6352,6.2328,0.6764,1403,8580.09,-7.17,3.48,1,0,0,0,1,1,1,1,0,0,1
199,22.6462,3.6838,6.1475,0.731,922,1388.29,-5.22,3.02,1,1,1,0,1,0,0,1,0,1,0
200,22.6462,3.6838,6.1475,0.731,922,1388.29,-5.22,3.02,1,1,1,0,1,0,0,1,0,1,1
201,22.6462,3.6838,6.1475,0.731,922,1388.29,-5.22,3.02,1,1,1,0,1,0,1,1,0,1,0
202,22.6462,3.6838,6.1475,0.731,922,1388.29,-5.22,3.02,1,1,1,0,1,0,1,1,0,1,1
203,22.6462,3.6838,6.1475,0.731,922,1388.29,-5.22,3.02,1,1,1,0,1,1,0,1,0,1,0
204,22.6462,3.6838,6.1475,0.731,922,1388.29,-5.22,3.02,1,1,1,0,1,1,0,1,0,1,1
